title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Mabisang Pakikipag Talastasan sa Filipino (Filipino I sa Pamantasan),"Fortunato, Teresita F.",Rex Book Store,499.211,,,1991,285,,,,,,,,,,,,
Modern Philosophies of Education,"Brubacker, John S.",Mc Graw Hill Inc.,370.1,,,1978,393,,,,,,,,,,,,
Musical Instrumentn then and now,"Rivaledo, Rosita F.",National Book Store Inc,784.19,,,1994,238,,,,,,,,,,,,
College Writing and Reading ,"Tiempo, Edilberto K.",Rex Book Store,411,,,1996,624,,,,,,,,,,,,
History of the Republic of the Philippines,,National Book Store Inc,,,,1983,469,,loss,,,,,,,,,,
Fundamentals of Physical Chemistry,"Orochfort, H. B.",Merran Sea & Off. Supply,541.3,,,1959,415,,,,,,,,,,,,
College Algebra,,"Prentice-Hall, Inc",,,,1982,406,,,,,,,,,,,,
Kuminikasyon at Lingguistika,"Lachica, Velandra S.","Saint Bernadette, Publication Inc.",410,,,1993,225,,,,,,,,,,,,
Freshmen Psychology,"Amparo, Librada",,150,,,1992,251,,,,,,,,,,,,
Educational Psychology,"Lupdag, Anselmo",National Book Store Inc,370.15,,,1984,264,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia",National Book Store Inc,150,,,1984,423,,,,,,,,,,,,
Panitikan ng Pilipinas,"Panganiban, Jose Villa",Rex Book Store,899.21,,,1995,311,,,,,,,,,,,,
Phil Recomends for Rattan Production,Phil. Council for Agri. Forestry and National Reserve,PCARRD & NRMP,584.5,,,1991,95,,,,,,,,,,,,
Phil Recomends for Tikog Production,PCARRD,PCARRD & NRMP,584.9,,,1994,45,,,,,,,,,,,,
Phil Recomends for Banana Production,Phil. Council for Agri. Forestry and National Reserve,PCARRD,634.772,,,1992,135,,,,,,,,,,,,
Phil Recomends for Soybean Production,Comittee of Soybean,PARRFI,583.322,,,1986,111,,,,,,,,,,,,
Phil Recomends for Coconut Production,The Coconut Comittee,"PCARRD, PARRFI, PCRDF",584.5,,,1993,234,,,,,,,,,,,,
Major Weeds of the Philippines,"Moody, K. et. al.",Weed Science Society of the Philippines,581.652,,,1994,328,,,,,,,,,,,,
Rice Farming System/ New Direction,IRRI,IRRI,633.18,,,1989,375,,,,,,,,,,,,
Basic Soil Fertility,"Mateo, Roberto N.",UP Printery,631.42,,,1990,328,,,,,,,,,,,,
Postharvest Tech. for South East Asian Perishable Crops,"Bautista, Ofelia K.",Tech and Livelihood Resource,635.02,,,1990,302,,,,,,,,,,,,
Postharvest Handling: A Training Manual,"edited by: Lizada, Ma. Conception",PHTRC,635.1,,,1993,237,,,,,,,,,,,,
Intro. to Tropical Horticulture,"edited by: Bautista, O. K.",SEAMEO,635,,,1994,598,,,,,,,,,,,,
Commodity Industry Analysis: Bulb Onion,Maunahan M.V.,PCARRD/UPLB,584.324,,,1988,42,,,,,,,,,,,,
Commodity Industry Analysis: Coconut,Maunahan M.V.,PCARRD/UPLB,584.5,,,1988,72,,,,,,,,,,,,
Participatory Environment Conservation and Management (B.S. No. 153),"Phil. Council for Agri. Forestry and Natural Resources, Research & Development","PCARRD, PARRFI",658.408,,,1995,95,,,,,,,,,,,,
"Environment, Classification & Agronomic Potentials of Some Wetdowel Soil in the Phil","Raymudo, M.E.","PCARRD, IRRI",631.44,,,1989,174,,,,,,,,,,,,
Commodity Industry Analysis: Abaca,"de Castro, N. L.",PCARRD,584.21,,,1988,42,,,,,,,,,,,,
Phil. Recommends for Groiler Production,The Broiler Production Comittee,PCARRD,636.5,,,1996,91,,,,,,,,,,,,
Phil Recomends for Fuelwood and Charcoal Utilization,The Commitee for Fuelwood & Charcoal Utilization,PCARRD,333.989,,,1985,95,,,,,,,,,,,,
Phil Recommends for Bamboo Production,The Bamboo Production Committee,PCARRD & NPCO-DEBR,584.93,,,1991,74,,,,,,,,,,,,
Phil. Recommends for Mangrove Prod. and Harvesting,Phil. Council for Agriculture,PCARRD,583.42,,,1991,96,,,,,,,,,,,,
Phil. Recommends for Orchids,Committee for Orchids,"PCARRD, PARRFI",584.5,,,1994,154,,,,,,,,,,,,
Mechanics of Materials: SI version,"Higdon, Archie","John Wiley & Sons, Inc.",,,,,752,,,,,,,,,,,,
Bioengenered Molecules: Basic and Clinical Aspects,"verna, Roberto","Raven Press Book, Ltd.",,,,1989,156,,,,,,,,,,,,
"Industry Basics: Intro. to the History, Structure & Technology of the telecommunication Industry","Keeler, David",NAT-A,,,,1986,53,,,,,,,,,,,,
Pathology of Gene Expression,"Frati, Luigi","Raven Press Book, Ltd.",574.2,,,1989,,,,,,,,,,,,,
Brief Calculus Application,"larson, Ronald",D. C. Health & Company,,,,1987,616,,,,,,,,,,,,
Fundamental Experiments in Microbiology,"Crabtree, Koby",W. B. Saunders Co.,,,,1974,349,,,,,,,,,,,,
Vox Architecture Handbook,,Digital Equipment Corp,,,,1981,506,,,,,,,,,,,,
